	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
2091	2258	3155	3815	3936	3695	4371
8857	222	144	102	114	92	66
107987267	30	34	36	39	32	33
5704	1014	3196	3861	3746	5339	3807
339327	223	599	639	771	582	492
163131	1184	2156	2758	2616	2310	2264
284323	282	1212	1602	1523	1424	1304
4294	1624	609	364	570	479	430
148014	96	92	26	50	58	29
79935	54	22	5	12	7	3
208	3602	3908	4250	4163	4585	4109
107985289	66	105	62	89	93	90
693226	42	12	22	15	6	24
126526	1431	1080	824	1015	1096	962
23646	5250	6349	6509	6858	8530	4997
147746	30	10	23	37	17	4
57716	390	128	74	141	96	95
29950	109	92	149	116	133	117
29946	366	503	884	712	827	513
105372489	90	51	68	57	73	48
645	79	133	272	205	260	164
57731	159	51	33	52	29	18
92799	1126	973	1253	1010	1310	1056
8425	6412	2130	3033	3110	3159	3518
9253	1916	1097	1113	1228	1409	896
79934	1434	1064	1335	1288	1291	948
80271	690	712	615	772	701	688
284325	1163	1377	2107	1799	2199	1626
6626	786	3044	4582	3999	4981	3876
8190	4	10	10	44	56	99
100529262	212	164	159	177	227	212
100529264	1869	1205	1025	1174	1202	1177
53916	221	161	156	143	183	122
112398	1798	1109	917	1090	1083	1096
171523	298	187	140	144	167	174
1548	44	14	15	5	12	3
1549	105	29	7	14	6	12
22952	23	16	8	12	9	9
29785	23	17	178	140	114	52
558	1135	737	1944	1702	1355	843
11100	13578	15953	18673	19931	24059	18247
105372401	907	1276	1438	1578	1662	1321
90324	2345	1755	1860	2103	2439	1865
7040	142	94	376	260	172	35
80776	252	294	316	242	298	234
641649	370	197	214	183	185	159
56915	222	208	312	271	373	273
593	171	459	599	668	773	554
374907	189	94	115	108	148	64
55101	1209	1473	2031	1869	2211	1619
90273	65	143	514	556	608	259
6223	8774	13259	19923	17334	19326	13181
102465478	6	25	16	32	17	16
973	12	2	11	7	5	16
9138	1070	814	809	972	1137	1025
390937	29	20	16	7	13	14
10567	1430	825	1042	1053	1251	761
478	2883	3498	1631	2883	3226	1551
2901	3015	1574	1463	1638	1556	939
64763	690	883	1227	989	1290	849
5452	1586	1190	649	1157	1424	751
100505622	12	12	0	1	4	2
162989	1114	500	678	809	765	481
116115	762	619	711	799	784	724
2931	2730	2521	2776	2886	3452	2569
2077	2893	1816	2971	2850	2940	2402
23152	4278	2764	2485	2854	2979	2742
5050	1728	2557	2728	2548	3502	2199
284338	1040	624	756	579	850	551
284339	355	236	88	133	236	262
1954	8230	4344	2928	4602	3868	4323
84518	59	44	52	32	44	14
101930071	18	26	29	28	35	34
100996307	122	124	108	135	113	96
3991	682	541	497	488	609	509
284340	32	22	12	27	5	12
634	68	92	59	73	66	78
105372407	19	25	6	14	19	11
1088	10	11	7	6	14	11
27076	29	26	37	40	32	15
653583	235	88	140	115	84	96
23474	189	275	362	348	402	252
284346	83	58	48	51	65	39
7515	1064	2032	2156	2257	2620	1940
390940	63	91	82	61	91	41
126298	10824	4526	2740	3571	3417	2972
79177	424	472	515	567	617	500
126299	1996	1805	1355	1544	1857	1374
100170229	1249	640	433	527	634	507
105372411	529	280	174	231	196	182
199731	3719	3140	1350	2028	2046	1948
105372410	35	47	39	37	30	30
5329	293	253	293	313	352	390
56006	1108	1672	1866	1856	2455	1624
284349	975	1292	1410	1447	1442	1374
342908	40	168	277	277	227	203
100505715	81	167	188	187	171	150
7596	708	1362	1802	1819	1830	1483
7638	249	791	857	974	764	790
7711	149	532	621	658	717	624
101928063	23	119	173	186	196	162
7773	59	232	331	274	346	295
7673	110	321	394	366	445	348
7766	185	549	590	665	708	474
342909	240	416	486	549	571	486
7767	295	788	948	1021	951	886
100379224	120	467	628	678	677	591
7768	152	456	535	605	544	527
10780	1039	1041	1182	1329	1320	1183
7769	870	2268	2422	2983	2686	2284
7770	413	1297	1596	1601	1569	1436
353355	273	584	584	621	509	509
9310	198	528	596	645	521	542
7771	201	1012	1006	1229	1109	949
26974	36	274	427	443	508	342
7733	589	1262	1300	1322	1358	1238
5817	627	687	768	725	765	686
56971	59	42	65	31	32	27
602	75	67	43	42	46	26
